clippings,url,victim
"today ’ s calendar.the wednesday bridge club met withmja . jj . l. cain . , ; the sell ! culture club mei * with mrs.harbert davenport.ijy % ' thursday ’ s calendar.the thursday bridge club meets withmrs . james brown .the parent-tgaeher association meetsat the high school at 4 o ’ clock.k an informal reception will l » e given att * he officers ’ ^club , fort brown , for mrs.kobert anderson bush and mrs. ii . c.weiner . * dancing will follow.mrs . a. n. mckay , who has wen visitingher parents , mr. and mrs. l. k. morris , for some weeks , is leaving today for herhome in la porte.miss lillie champion of donna is visiting her cousin , miss retra champion.miss lula crenshaw of belton , who haswen here in the interest of baylor female",https://chroniclingamerica.loc.gov/lccn/sn86063730/1918-05-01/ed-1/seq-3/ocr/,james brown
"m. scurry vs. o ; ty oi , seattle—originalstatement of facta os iered t ( > 6a attached totrauscr ; pt.john m. piatt vs. fun fran < * s < o bridge company—judgment on oixmiaaafat d costs.klwia w. morton v .. m. t * e ' » r—on trial . james stewart ta . - coyne- ' djfanltand judgment in num of ili & ni . rnellie m. scurry v. » . wiht ( f : n jonea et al—leave to defendant to file ted answer uponpayment ot |u coeu ; cauae * \r ; cken from calendar.e . m. gordon et al . ra . the 'voire of slaughter—verdict for defencn. , t by iaatruction ol thecourt.criminal det i etmkx ' — bttmxs . j.state of ta . abraham hockwaid—obtaining gu » ; a uudvr talae pretenses ; on mot.on of proseo : ? .ng attorney dismissed.state of ftaabin ? t",https://chroniclingamerica.loc.gov/lccn/sn83045604/1893-05-09/ed-1/seq-5/ocr/,james stewart
". bingham , wife aud three children , f . daugutou and wife , a. dockman andwife , a. foster , mr. mutz , wife pud child , mr . otericourse aud wife and child audr p. madsou.in this couuty . mr. and mrs. d. t.haddow , eloy mckee and john peterson were killed and mrs. d. mckercher audmaggie b iller fatally injured.the property loss will run high into thethousands . the iujured are being caredfor.st . paul , minn. , sept. 22. between 8and 10 o'clock last nighc a strip of country 200 miles long was laid waste by a hurricaue , which in many places developedinto a cyclone iu its path are ruinedtowns , devastated farms aud several bundred dead aud iujured people , starting iabout ten miles south of spencer , in north- jwestern iowa , the storm of wind at 8o'clock began its work of destruction.this is a",https://chroniclingamerica.loc.gov/lccn/sn82014635/1894-09-23/ed-1/seq-2/ocr/,john peterson
"wheeling , w. va. money received ondenosit . interest paid on special iwposit.notes and bills discounted . exchaug * boughtami sold . collections at home or from abroadpromptly attended to.directors.john reld , christian hess , john uatxllau , john vockler , sam ' l j. boyd , rumpd carter , andrew wilson , john reid , pres t.josiah f. upbe4jraff , caawer.ju ! 7national bank of w. va. , at wheeling.capital paid ia 00,000authorised capital 300.000money becrivrd on deposit , interest paidi p special l > e posits.notes and ( tills discounted . exchange boughtand sold . collections ma < te niton all pointa andproceeds promptly remitted.directors.jabies w. paxton , c. oglebav , m. pollack , m.re ill } ' , james maxwell , joseph seybuld . j. r'hubbard , arthur little , a. s. todjf.james w. paxton , pres't.gibson lamb . caahier . jyr lygreenwood cemetery , sitcatkd off the *",https://chroniclingamerica.loc.gov/lccn/sn84026847/1867-03-22/ed-1/seq-1/ocr/,andrew wilson
"infant ; mary burns , francis caning , l. churehaus , mrs. a. dick , y imam dick , hugh donnelly , joseph forr-mau , william gulitwist , james grant , joseph hale , w. hale , bernard hendricson , john hughes , john hutchinson , b , johnson , martin jones , samuel leaverty.miss lizzie leonard , fanny moalpin , susaac . mcdermott , john moore , hugh morgan , edward o'donnell , james patience , charletpeterson , martin peterson , elizabeth pumilty , kate pumilty , ella rogers , peteirowling , mrs. jane seoto , e. j. seglem , martha shannon , mag shannon , edwardstetrart , ellen stewart , miss ella stewart , john stewart , robert stewart , robert stewart , jr. , william stewart , f. watson andbenjamin wedlake.later telecranu.montreal , may 8. thesttamshiptitania , which has arrived off father point , has sentthe following statement ashore",https://chroniclingamerica.loc.gov/lccn/sn92053943/1884-05-08/ed-1/seq-1/ocr/,martin jones
"* * * , the f. rmal petltlon for dlspd by ? m 1 |orlt > of tba , a_ni < ihem belns cnauncty frothinirham , wllllam1- mai tln . corni llna `` . hull , ueorjte h ? ? .. , , 1.1 ii . cai ? ' . alexander white .1 , . v pi 1 , u.1at tbe tbe r/,7 ' : . * -.oeoi te ' ' ? m in ' a appi aram 1 al lhe pai k t ? : , , .i , . , nd ? ? brougl 1 0 il ? l irge audience andopened what pi mlsca to be one , af the mo ? i proflt . .... ua .-k.i .. f lh * parl ? n. l isl evi 1 . , ... 1 mlln .| p * in 1 aa il im 11. thla evi nln thei'.ay wlll b",https://chroniclingamerica.loc.gov/lccn/sn83030214/1896-02-26/ed-1/seq-14/ocr/,alexander white
"divinity school , abraham w.jackson , a. b. , of turner , bachelor of theologybachelors of law , john edward avery ofwhitefleld , orville dewey baker of augusta , winfield scott choate of augubta , john rogers mason , melville moore weston and charlesfuller woodward of bangor.doctors of dentistry , james williams curtisbrunswick , and benjamin henry torrents ofbangor.among tlie graduates of dartmouth college arewilliam e. hogan , bath ; stephen a. chines , china ; everett totman , fairfield ; and georgef . stackpole of lebanon.the decree of b. a. , was conferred on a f.elder of east limington , marcus a. meads ofsouth limington.the decree of d. d. , was conferred on rtv.thomas adams of winslow.from audover theological school were graduated samuel howard dana of portland , aidcharles f. dole of norridgewock.georgetown college conferred the degree ofa . b. , on albert w. madman of maine.among the medieal graduates at",https://chroniclingamerica.loc.gov/lccn/sn83016025/1872-06-29/ed-1/seq-2/ocr/,james williams
"he felt no pain , ha aald , bttad movedabout at ar|u on bla bed , reading ordlctating talegrana or taiking wltbaaaaabere of hla fabally . in the afternoon he slcpt for a tlmedr . john b , murphy , arho 1b in ormrg * of the rase ; dr. arthur dean fevanand dr. scurry terrcll . colonel roosevelt 's pbyalclan , held three conaultations during the da\ . aside from theofflclal bulletinp whlcb they lesued.which gave nttler indlcation of aaiychange . they would aay little of therondition of thc patlent . why lt wmthat tha fracture of colonel rooaeveifarib waf not dlsclosed untll to-day araanot made known . although it was satdthcre araa no eanee for alarm on thisaccountas aobfl as mrs. rnosevrlt reachedthe hoaplul tbla mornlng aha tookcharge ol affaln bha wai aeeompanied bv theodore rooaevelt , jr .. mrantchoias longworth and miss ethelhooaerelt . later ta thc day repreaentntlve",https://chroniclingamerica.loc.gov/lccn/sn83030214/1912-10-17/ed-1/seq-2/ocr/,arthur dean
"state ; .hon . geo . ' w. childs , cyrus w. field , rev.john r . paxton . 'edwards pierrepont , gen . c b.comstock , w. c andrews , samuel sloan . ( ca ; .w . w. paxton and albert bierstadt amo jfcothers present were gen. fiz john porter . col.a . louden snowden , of philadelphia ; d. o.mills , gen. stewart l. woodford , gen. wagerswayne , colonel douglass , col. robert g. ingersoll , elliott f. shepard , hon . elihu rootand herman c. armour . ; tbe menu card was an elaborate ne . engraved on a double sheet of celluloid , shapedlike a field tent , and richly trimmed with coloredsilk . on one side was a portrait of the latageneral ; on the other was the following : tj . s. grant.born at point pleasant , ohio , april 27 , 1822.graduated from",https://chroniclingamerica.loc.gov/lccn/sn82015679/1888-04-28/ed-1/seq-1/ocr/,john porter
"high , weighs1140 pounds . he was bred on the clay hill stock farm of thomas l. coons , near lexingto , ky. , by american clay ; he by strader ' cassius m. clay , jr. ; he by casaius m. clay ; heby henry clay ; he by andrew jackson ; he by young bashaw ; be by grand bashaw ; he byfirst consul , and he by flag of truce american clay 's first dam wae by imported i'ranby ; second dam by aratus ; third dam by josephus ; fourth dam by columbus ; fifth dam a. , l i 1 i i. . t ir : it ' ' -j . : i a ii morougu-urcu mare urvukut lroui virginia , gaines , of boone county , ky ; she wa . siredbred daughter of lexington.harry clay 's colts are fine , beautiful , large and good",https://chroniclingamerica.loc.gov/lccn/sn85026241/1883-05-10/ed-1/seq-2/ocr/,andrew jackson
